board,table,pair_ns,pair_ew,score
1,2,11,2,100
1,1,12,1,90
1,3,3,10,50
1,4,9,4,-110
1,6,7,6,-120
1,5,8,5,-300
2,4,9,4,-100
2,5,8,5,-170
2,1,12,1,-420
2,3,3,10,-420
2,6,7,6,-450
2,2,11,2,-500
3,3,3,10,590
3,5,8,5,170
3,4,9,4,-100
3,2,11,2,-650
3,1,12,1,-680
3,6,7,6,-1430
4,1,12,1,400
4,5,8,5,100
4,4,9,4,100
4,6,7,6,100
4,2,11,2,-130
4,3,3,10,-600
5,1,12,2,-420
5,2,1,3,-420
5,4,10,5,-420
5,5,9,6,-420
5,6,8,7,-420
5,3,4,11,-450
6,5,9,6,450
6,6,8,7,450
6,1,12,2,420
6,4,10,5,420
6,2,1,3,200
6,3,4,11,-100
7,5,9,6,180
7,4,10,5,-100
7,1,12,2,-200
7,2,1,3,-200
7,3,4,11,-500
7,6,8,7,-800
8,3,4,11,530
8,5,9,6,170
8,1,12,2,140
8,4,10,5,-50
8,2,1,3,-100
8,6,8,7,-130
9,3,5,1,110
9,1,12,3,110
9,2,2,4,90
9,5,10,7,-50
9,6,9,8,-130
9,4,11,6,-150
10,4,11,6,790
10,6,9,8,790
10,1,12,3,500
10,3,5,1,100
10,5,10,7,100
10,2,2,4,-140
11,4,11,6,500
11,2,2,4,140
11,3,5,1,100
11,1,12,3,-50
11,5,10,7,-50
11,6,9,8,-100
12,1,12,3,100
12,6,9,8,100
12,2,2,4,50
12,3,5,1,50
12,4,11,6,50
12,5,10,7,-400
13,3,6,2,620
13,6,10,9,620
13,4,1,7,170
13,2,3,5,140
13,5,11,8,70
13,1,12,4,-100
14,1,12,4,460
14,5,11,8,460
14,6,10,9,460
14,4,1,7,430
14,3,6,2,400
14,2,3,5,150
15,3,6,2,50
15,5,11,8,-170
15,4,1,7,-200
15,1,12,4,-420
15,2,3,5,-420
15,6,10,9,-480
16,6,10,9,800
16,5,11,8,470
16,3,6,2,150
16,4,1,7,130
16,1,12,4,-130
16,2,3,5,-150
17,3,7,3,800
17,4,2,8,590
17,1,12,5,420
17,6,11,10,420
17,2,4,6,-50
17,5,1,9,-50
18,3,7,3,-450
18,5,1,9,-450
18,6,11,10,-450
18,2,4,6,-480
18,4,2,8,-480
18,1,12,5,-650
19,2,4,6,180
19,5,1,9,180
19,6,11,10,150
19,4,2,8,120
19,3,7,3,90
19,1,12,5,-100
20,1,12,5,1460
20,2,4,6,1460
20,3,7,3,1460
20,4,2,8,1460
20,6,11,10,1460
20,5,1,9,710
21,1,12,6,100
21,6,1,11,100
21,2,5,7,-400
21,3,8,4,-430
21,5,2,10,-430
21,4,3,9,-460
22,4,3,9,-630
22,1,12,6,-660
22,2,5,7,-660
22,3,8,4,-660
22,5,2,10,-660
22,6,1,11,-660
23,4,3,9,200
23,6,1,11,-110
23,2,5,7,-130
23,3,8,4,-130
23,5,2,10,-130
23,1,12,6,-200
24,1,12,6,-1010
24,4,3,9,-1020
24,5,2,10,-1510
24,6,1,11,-1510
24,2,5,7,-1510
24,3,8,4,-2300
25,2,6,8,-110
25,6,2,1,-130
25,4,4,10,-150
25,1,12,7,-200
25,3,9,5,-600
25,5,3,11,-660
26,1,12,7,-1430
26,2,6,8,-1440
26,3,9,5,-1440
26,4,4,10,-1440
26,5,3,11,-1440
26,6,2,1,-1440
27,4,4,10,250
27,5,3,11,-440
27,3,9,5,-500
27,1,12,7,-940
27,6,2,1,-940
27,2,6,8,-1190
28,5,3,11,870
28,3,9,5,110
28,4,4,10,100
28,1,12,7,-180
28,6,2,1,-300
28,2,6,8,-500
29,2,7,9,620
29,3,10,6,620
29,4,5,11,620
29,5,4,1,620
29,1,12,8,170
29,6,3,2,170
30,1,12,8,50
30,2,7,9,50
30,4,5,11,50
30,5,4,1,50
30,6,3,2,50
30,3,10,6,-460
31,4,5,11,100
31,1,12,8,-130
31,5,4,1,-150
31,2,7,9,-150
31,6,3,2,-400
31,3,10,6,-400
32,1,12,8,650
32,2,7,9,400
32,3,10,6,400
32,4,5,11,400
32,6,3,2,200
32,5,4,1,170
33,2,8,10,430
33,1,12,9,140
33,3,11,7,100
33,5,5,2,50
33,6,4,3,-100
33,4,6,1,-100
34,1,12,9,-420
34,3,11,7,-420
34,4,6,1,-420
34,5,5,2,-450
34,2,8,10,-460
34,6,4,3,-460
35,3,11,7,430
35,6,4,3,430
35,1,12,9,400
35,2,8,10,400
35,5,5,2,400
35,4,6,1,150
36,2,8,10,-620
36,1,12,9,-620
36,3,11,7,-620
36,4,6,1,-620
36,5,5,2,-620
36,6,4,3,-620
37,1,12,10,170
37,5,6,3,140
37,2,9,11,110
37,4,7,2,110
37,6,5,4,-140
37,3,1,8,-500
38,4,7,2,100
38,5,6,3,-90
38,2,9,11,-110
38,3,1,8,-140
38,6,5,4,-170
38,1,12,10,-620
39,5,6,3,400
39,4,7,2,300
39,1,12,10,200
39,2,9,11,200
39,3,1,8,100
39,6,5,4,-130
40,3,1,8,-520
40,1,12,10,-980
40,2,9,11,-990
40,4,7,2,-990
40,6,5,4,-990
40,5,6,3,-1020
41,1,12,11,430
41,6,6,5,430
41,3,2,9,400
41,2,10,1,120
41,4,8,3,110
41,5,7,4,-50
42,4,8,3,1130
42,1,12,11,650
42,2,10,1,650
42,3,2,9,650
42,5,7,4,650
42,6,6,5,650
43,6,6,5,-150
43,1,12,11,-400
43,4,8,3,-400
43,5,7,4,-400
43,2,10,1,-430
43,3,2,9,-430
44,2,10,1,100
44,4,8,3,-140
44,5,7,4,-140
44,3,2,9,-150
44,6,6,5,-150
44,1,12,11,-170
